C,V,F,NOME CLIENTE,DOMINIO,DNS,DOMINIO PREZZO,DOMINIO COSTO,SCADENZA DOMINIO,HOSTING,HOSTING COSTO,SCADENZA HOSTING,POSTA,POSTA COSTO,SCADENZA POSTA,SMTP,SMTP COSTO,SCADENZA SMTP,ANTI, ANTI COSTO,SCADENZA ANTISPAM,SSL,PEC,PEC COSTO,SCADENZA PEC,COOKIEBOT,COOKIEBOT COSTO,AUT,EYE,MOBILE SYNC,TOTALE,TOT COSTO,TOTALE 2,SERVER,SPAZIO,SPAZIO UTILIZZATO (gen 22),TRAFFICO,CMS,PG SITO,NOTE
,,Fatturato 2022,2NOVE9,https://www.2nove9.com/,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00",,001,1 Gb,115 Mb,,SLAMP,,Marta Magni 2nove9
,,Da fatturare,3DMODEL UNITY,,Altro,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€30,00","€0,00",,002,,200 Mb,,,,
,,,A.D POLISPORTIVA VICTOR RHO - SEZIONE BASKET,,-,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Da fatturare,3Q,,Register,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,,A.S.D. SALICE,,-,,,,,,,,,,,,,,,,,,,,,,"€98,00",,,"€98,00","€0,00",,,,,,,,
,,,A.S.D. Volley Berzo Inferiore,,-,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,,A.S.D. Volley2laghi,,-,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,Fatturato 2022,AB RE PROJECT,3bware.it,Register,"€50,00","€15,00",08/11/2022,"€0,00",,,"€19,00","€9,80",8186849.        28/06/2022,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€69,00","€24,80","€69,00",-,,,,,,Non ha il sito
,,Fatturato 2022,ABACO,abacosrl.com,Register,"€50,00","€15,00",04/03/2022,"€90,00",,,"€45,00","€23,05",8193880.        02/07/2022,"€15,00","€9,10",07/07/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€230,00","€47,15","€280,00",001,500 Mb,70 Mb,,,,
,,Fatturato 2022,ABACO,kubeonline.it,Register,"€50,00","€15,00",18/09/2022,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,-,,,,,,Non ha il sito
,,,ACS VOLLEY POVOLARO,,-,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,ADOBER,adober.it,Promo,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,120 Mb,,,,
,,Fatturato 2022,ALBERGO BELVEDERE,belvederemozzio.it,Register,"€50,00","€15,00",08/06/2022,"€240,00",,,"€19,00","€9,80",8447236.       22/10/2022,"€15,00","€9,10",22/10/2022,"€38,00","€18,90",22/10/2022,"€30,00","€0,00",,,,,,,,"€392,00","€52,80","€392,00",002,2 Gb,400 Mb,,,,
,,Fatturato 2022,ALESSANDRA CATTANEO,passodopopasso.me,Register,"€50,00","€15,00",27/02/2022,"€0,00",,,"€19,00","€9,80",16/04/2022,"€15,00","€9,10",16/04/2022,"€38,00","€18,90",16/04/2022,"€0,00","€0,00",,,,,,,,"€122,00","€52,80","€122,00",-,,,,,,Non ha il sito
,,Fatturato 2022,ALLEGRA DAMI,damijustforkids.com,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€240,00",001,2 Gb,100 Mb,,,,PROPOSTA DI RESTYLING
,,Fatturato 2022,ALMAFER,almafer.it,Register,"€50,00","€15,00",27/01/2023,"€0,00",,,"€25,00","€14,65",8376674.        20/09/2022,"€15,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€90,00","€29,65","€90,00",-,,,,,,Non ha il sito
,,Fatturato 2022,AMCHAM,amcham.it,Altro,"€0,00",,,"€340,00",,,"€0,00",,,"€0,00","€9,10",20/09/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€370,00","€9,10","€370,00",002,4 Gb,"6,7 Gb",30 Gb / mese,,,PROPOSTA DI HOSTING
,,Fatturato 2022,AMCHAM,eventi.amcham.it,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,,,,,
,,Fatturato 2022,AMCHAM,infografiche.amcham.it,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,,,,,
,,Fatturato 2022,AMPLA,ampla.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,200 Mb,,,,
,,DA VERIFICARE,ANDREA PELLEGRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,Dominio da registrare 2022
,,Fatturato 2022,ANDREOTTI IMPIANTI,andreottiimpianti.com,Altro,"€0,00",,,"€540,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€570,00","€0,00","€570,00",001,6 Gb,350 Mb,,,,DNS gestito da cliente
,,,Ancona Team Volley Asd,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,AR COMPUTER SERVICE,arcomputerservice.it,Register,"€50,00","€15,00",08/12/2022,"€90,00",,,"€84,00","€30,70","19481090   04/02/2023
8139525.   26/06/2022","€15,00","€9,10",16/10/2022,"€0,00",,,"€0,00","€30,00","€19,00",09/11/2022,,,,,,"€269,00","€73,80",,,,,,,,
,,,ANDREA SNC di Mosele Elisa e Costa Tania,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,Fatturato 2022,ARCHITETTO GIUSEPPE SANGALLI,architettosangalli.it,Register,"€50,00","€15,00",03/07/2022,"€90,00",,,"€19,00","€9,80",8434653.        16/10/2022,"€15,00","€9,10",16/10/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€204,00","€33,90","€204,00",002,500 Mb,334 Mb,,,,
,,Fatturato 2022,ARCHITETTO GIUSEPPE SANGALLI,dottoressaandreozzi.it,Register,"€50,00","€15,00",22/12/2022,"€90,00",,,"€0,00",,,"€15,00","€9,10",05/11/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€185,00","€24,10","€185,00",001,500 Mb,90 Mb,,,,
